"Fon Kodu","Fon Adı","Şemsiye Fon Türü","1 Ay (%)","3 Ay (%)","6 Ay (%)","Yılbaşı (%)","1 Yıl (%)","3 Yıl (%)","5 Yıl (%)"
"IPG","İŞ PORTFÖY ATAK FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","9,8265","18,8244","18,9351","20,0100","25,4665","253,9192","400,6244"
"GPL","GARANTİ PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2,2111","6,5986","15,0666","16,1487","25,4604","-","-"
"GBG","INVEO PORTFÖY G-20 ÜLKELERİ YABANCI HİSSE SENEDİ FONU","Hisse Senedi Şemsiye Fonu","5,1588","21,3915","12,7700","18,9975","25,3256","191,3695","741,9548"
"GMD","GLOBAL MD PORTFÖY BİRİNCİ FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","4,6876","9,3506","14,2346","15,5211","25,3178","177,2600","-"
"GVI","GARANTİ PORTFÖY ÜÇÜNCÜ FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","10,7223","15,9290","15,6791","20,0222","25,1574","329,7603","-"
"AAS","ATA PORTFÖY FON SEPETİ SERBEST FONU","Serbest Şemsiye Fonu","7,7072","29,2253","19,7093","23,0369","25,0105","150,0880","191,7903"
"BST","PARDUS PORTFÖY BANKACILIK SEKTÖRÜ DIŞI ŞİRKETLER HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","7,3192","12,3717","11,6378","13,4410","24,9451","-","-"
"KDL","KUVEYT TÜRK PORTFÖY BEŞİNCİ KATILIM SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2,1000","6,2639","14,4473","15,4485","24,6639","-","-"
"PFO","PHİLLİP PORTFÖY FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","14,0648","22,1381","12,9088","19,7139","24,2451","-","-"
"AHV","AZİMUT PORTFÖY DENGELİ FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","8,9210","12,1707","13,8238","13,9775","24,2240","329,5820","703,8345"
"AC5","PARDUS PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","2,2963","10,1081","9,7904","10,8039","24,0392","-","-"
"ICS","ICBC TURKEY PORTFÖY SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","1,9276","6,5183","13,7897","14,5266","23,9308","126,2703","496,3639"
